Latitude,Longitude,Pays,Ville_Proche,Region
-18.4703645,-52.6100241,Brazil,Mineiros,South America
-18.4743978,-39.7625678,Brazil,São Mateus,South America
-18.5261599,136.0041194,Australia,Camooweal,Oceania
-18.5725726,125.7624823,Australia,Halls Creek,Oceania
-18.5781494,-43.572052,Brazil,Diamantina,South America
-18.5889569,136.0352723,Australia,Camooweal,Oceania
-18.6064523,-43.3811667,Brazil,Diamantina,South America
-18.6120874,-52.9678088,Brazil,Mineiros,South America
-18.6271879,-51.605683,Brazil,Jataí,South America
-18.6351735,126.9872367,Australia,Halls Creek,Oceania
-18.6415701,-49.7012459,Brazil,Ituiutaba,South America
-18.7014892,-47.7953573,Brazil,Araguari,South America
-18.7163054,-39.836874,Brazil,São Mateus,South America
-18.7223017,-39.8711791,Brazil,São Mateus,South America
-18.74229,140.5035871,Australia,Karumba,Oceania
-18.7438077,126.1621271,Australia,Halls Creek,Oceania
-18.7545247,-39.7530911,Brazil,São Mateus,South America
-18.7816551,-70.1874822,Chile,Arica,South America
-18.7921611,134.03108,Australia,Camooweal,Oceania
-18.8087777,139.7480153,Australia,Burketown,Oceania
-18.8558333,-52.5453383,Brazil,Jataí,South America
-18.8760397,-52.7127795,Brazil,Mineiros,South America
-18.8829211,-41.9669946,Brazil,Governador Valadares,South America
-18.9018051,-42.6326229,Brazil,Guanhães,South America
-18.9124702,-69.8293604,Chile,Cuya,South America
-18.9214842,-48.19424,Brazil,Uberlândia,South America
-18.9344112,-49.8296277,Brazil,Ituiutaba,South America
-18.9474491,141.1728094,Australia,Karumba,Oceania
-18.9671365,139.9819634,Australia,Burketown,Oceania
-18.9977863,144.9473334,Australia,Ingham,Oceania
-19.0593598,-43.96256,Brazil,Sete Lagoas,South America
-19.0988801,134.176003,Australia,Camooweal,Oceania
-19.1181033,-43.676062,Brazil,Sete Lagoas,South America
-19.1458865,141.2327337,Australia,Karumba,Oceania
-19.1471117,-54.7621492,Brazil,Campo Grande,South America
-19.1621619,-43.885459,Brazil,Sete Lagoas,South America
-19.1716753,-50.0522907,Brazil,Iturama,South America
-19.1846901,140.2410645,Australia,Cloncurry,Oceania
-19.1897836,146.6676314,Australia,Townsville,Oceania
-19.1931072,-54.9285589,Brazil,Campo Grande,South America
-19.2092826,-46.1336906,Brazil,Araxá,South America
-19.2243139,-42.5073695,Brazil,Ipatinga,South America
-19.2258056,-42.3290952,Brazil,Ipatinga,South America
-19.2570452,-43.5314871,Brazil,Sete Lagoas,South America
-19.2618363,-40.4548278,Brazil,Linhares,South America
-19.2808396,-42.4787477,Brazil,Ipatinga,South America
-19.289793,-44.660207,Brazil,Sete Lagoas,South America
-19.2979796,135.0850927,Australia,Camooweal,Oceania
-19.3132203,-69.4264897,Chile,Cuya,South America
-19.3172133,-48.0747342,Brazil,Uberlândia,South America
-19.3262039,-43.9341103,Brazil,Sete Lagoas,South America
-19.3675967,-54.2001132,Brazil,Campo Grande,South America
-19.3735456,134.5367214,Australia,Camooweal,Oceania
-19.3775638,142.8796783,Australia,Georgetown,Oceania
-19.3925665,146.9686777,Australia,Townsville,Oceania
-19.4001994,146.7077475,Australia,Townsville,Oceania
-19.4122273,-57.3811439,Brazil,Corumbá,South America
-19.4137167,-44.2649038,Brazil,Sete Lagoas,South America
-19.4896517,-44.3939645,Brazil,Sete Lagoas,South America
-19.5168879,-41.0088666,Brazil,Linhares,South America
-19.5383625,-54.5312914,Brazil,Campo Grande,South America
-19.5529103,-43.7363926,Brazil,Belo Horizonte,South America
-19.5679256,-44.079976,Brazil,Sete Lagoas,South America
-19.5833499,138.7886548,Australia,Camooweal,Oceania
-19.649097,-69.1246802,Chile,Llica,South America
-19.6576062,147.4164991,Australia,Ayr,Oceania
-19.6764337,-53.86642,Brazil,Campo Grande,South America
-19.678734,-46.3313592,Brazil,Araxá,South America
-19.6951956,-45.0940517,Brazil,Divinópolis,South America
-19.7028374,-44.3126871,Brazil,Sete Lagoas,South America
-19.737186,-69.786796,Chile,Pozo Almonte,South America
-19.7928139,-43.3310169,Brazil,Nova Lima,South America
-19.7948834,-48.1642757,Brazil,Uberaba,South America
-19.8214807,-41.4447615,Brazil,Caratinga,South America
-19.9000007,146.5913746,Australia,Charters Towers,Oceania
-19.9106023,-54.3681782,Brazil,Campo Grande,South America
-19.9322008,-40.1456379,Brazil,Vitória,South America
-19.9447607,-43.9166279,Brazil,Belo Horizonte,South America
-19.9538158,136.4200044,Australia,Camooweal,Oceania
-19.9725358,-47.7729173,Brazil,Uberaba,South America
-19.9821162,-48.2702968,Brazil,Uberaba,South America
-2.0611951,-46.9789985,Brazil,Capitão Poço,South America
-2.0714638,102.9381368,Indonesia,Jambi,South Asia
-2.1595611,104.405955,Indonesia,Palembang,South Asia
-2.2530179,121.7569511,Indonesia,Poso,South Asia
-2.2907054,113.8833949,Indonesia,Palangkaraya,South Asia
-2.5064326,-48.3082602,Brazil,Paragominas,South America
-2.6300735,-54.701212,Brazil,Santarém,South America
-2.6832795,112.9488502,Indonesia,Sampit,South Asia
-2.7950128,-44.3735041,Brazil,Rosário,South America
-2.7967519,-40.4909652,Brazil,Camocim,South America
-2.7995234,107.8287211,Indonesia,Tanjungpandan,South Asia
-2.813868,-40.3886712,Brazil,Acaraú,South America
-2.837874,-58.2148422,Brazil,Itacoatiara,South America
-2.8395939,114.3642935,Indonesia,Kuala Kapuas,South Asia
-2.8591972,-40.0625368,Brazil,Acaraú,South America
-2.8618258,101.3949573,Indonesia,Sungai Penuh,South Asia
-2.8706143,-54.6099044,Brazil,Santarém,South America
-2.8889358,114.3715515,Indonesia,Kuala Kapuas,South Asia
-2.8927444,-41.2640936,Brazil,Camocim,South America
-2.8946102,103.8507064,Indonesia,Prabumulih,South Asia
-2.8974597,103.3135025,Indonesia,Lahat,South Asia
-2.8974965,-40.0069013,Brazil,Acaraú,South America
-2.9220356,-40.1698572,Brazil,Acaraú,South America
-2.9241465,102.9542696,Indonesia,Lahat,South Asia
-2.9552801,104.968837,Indonesia,Palembang,South Asia
-2.9747492,104.5620172,Indonesia,Palembang,South Asia
-2.9884502,-44.9916878,Brazil,Viana,South America
-2.989476,106.4740285,Indonesia,Pangkalpinang,South Asia
-20.0064948,138.568439,Australia,Camooweal,Oceania
-20.0233998,-43.3997908,Brazil,Nova Lima,South America
-20.0318777,-42.2679918,Brazil,Caratinga,South America
-20.0638261,-44.331843,Brazil,Itaúna,South America
-20.0911872,-44.8277597,Brazil,Divinópolis,South America
-20.0918411,-54.8494766,Brazil,Campo Grande,South America
-20.1235837,-50.6053893,Brazil,Fernandópolis,South America
-20.1472588,-46.4314887,Brazil,Passos,South America
-20.1477875,-55.2545598,Brazil,Aquidauana,South America
-20.1481034,140.7488985,Australia,Cloncurry,Oceania
-20.162977,-69.5089779,Chile,Pozo Almonte,South America
-20.1894095,-40.8767433,Brazil,Vitória,South America
-20.2114642,-69.8726459,Chile,Pozo Almonte,South America
-20.2485626,-46.3670776,Brazil,Passos,South America
-20.2540238,141.7205628,Australia,Cloncurry,Oceania
-20.279709,148.5767278,Australia,Proserpine,Oceania
-20.2811479,-69.7868527,Chile,Pozo Almonte,South America
-20.3034887,119.2566615,Australia,Port Hedland,Oceania
-20.3060505,141.3183714,Australia,Cloncurry,Oceania
-20.3136731,-44.2548005,Brazil,Itaúna,South America
-20.3237024,141.4047933,Australia,Cloncurry,Oceania
-20.3276502,-40.3516252,Brazil,Vitória,South America
-20.3726009,139.2750485,Australia,Mount Isa,Oceania
-20.3771662,-45.6519297,Brazil,Formiga,South America
-20.4148332,-52.8850837,Brazil,Três Lagoas,South America
-20.4206949,-47.7549009,Brazil,Franca,South America
-20.4286014,-51.0709253,Brazil,Andradina,South America
-20.4303973,-44.1074775,Brazil,Conselheiro Lafaiete,South America
-20.4465222,-44.2622004,Brazil,Itaúna,South America
-20.4473914,-55.7901816,Brazil,Aquidauana,South America
-20.4858565,-43.1987668,Brazil,Ponte Nova,South America
-20.4966634,-45.4329407,Brazil,Formiga,South America
-20.5082706,-54.6292134,Brazil,Campo Grande,South America
-20.5172314,-43.2904883,Brazil,Ponte Nova,South America
-20.5497414,-48.5862419,Brazil,Barretos,South America
-20.5763545,-48.5856677,Brazil,Barretos,South America
-20.5973784,-47.6441084,Brazil,Franca,South America
-20.6305903,-46.8614075,Brazil,Passos,South America
-20.6389098,-49.6509941,Brazil,São José do Rio Prêto,South America
-20.6503318,-49.3852774,Brazil,São José do Rio Prêto,South America
-20.6525385,-55.8983129,Brazil,Aquidauana,South America
-20.6652209,-50.38651,Brazil,Fernandópolis,South America
-20.6732202,-41.2061226,Brazil,Cachoeiro de Itapemirim,South America
-20.6793991,-50.1505434,Brazil,Fernandópolis,South America
-20.6865829,148.6241203,Australia,Proserpine,Oceania
-20.6873109,-69.6352211,Chile,Lagunas,South America
-20.7076165,-70.1809162,Chile,Iquique,South America
-20.7380919,140.2500109,Australia,Cloncurry,Oceania
-20.7593777,-56.6653926,Brazil,Jardim,South America
-20.778093,139.4973469,Australia,Mount Isa,Oceania
-20.7946639,-42.4541974,Brazil,Muriaé,South America
-20.7991306,-49.416594,Brazil,São José do Rio Prêto,South America
-20.814863,-49.302373,Brazil,São José do Rio Prêto,South America
-20.8259246,-42.6036481,Brazil,Muriaé,South America
-20.837636,-49.8484048,Brazil,São José do Rio Prêto,South America
-20.849542,-49.6230248,Brazil,São José do Rio Prêto,South America
-20.8645221,-40.8812407,Brazil,Cachoeiro de Itapemirim,South America
-20.8749472,-55.8875796,Brazil,Aquidauana,South America
-20.8843984,-48.6645958,Brazil,Barretos,South America
-20.9171286,-44.2365059,Brazil,São João del Rei,South America
-20.9229248,-55.7817265,Brazil,Aquidauana,South America
-20.9247526,149.0477119,Australia,Mackay,Oceania
-20.9551454,134.2096419,Australia,Alice Springs,Oceania
-20.9584553,143.0363735,Australia,Richmond,Oceania
-21.0032748,-50.6847274,Brazil,Araçatuba,South America
-21.0214778,-54.9379841,Brazil,Maracaju,South America
-21.09422,-44.4788173,Brazil,São João del Rei,South America
-21.0981666,-45.089573,Brazil,Lavras,South America
-21.1168294,-41.9033334,Brazil,Miracema,South America
-21.1357748,-55.8204175,Brazil,Jardim,South America
-21.1671808,-51.4776551,Brazil,Andradina,South America
-21.1722141,-42.2286344,Brazil,Muriaé,South America
-21.1768229,119.718094,Australia,Port Hedland,Oceania
-21.1877013,-46.9705247,Brazil,Guaxupé,South America
-21.191056,-48.9120253,Brazil,Catanduva,South America
-21.1967434,-48.1659776,Brazil,Jabuticabal,South America
-21.199802,-54.8937303,Brazil,Maracaju,South America
-21.2013222,-54.5582423,Brazil,Maracaju,South America
-21.2174144,141.9718463,Australia,Richmond,Oceania
-21.2320709,-45.2322096,Brazil,Lavras,South America
-21.2433715,-56.4498743,Brazil,Jardim,South America
-21.2723157,-51.6667546,Brazil,Andradina,South America
-21.2926683,55.805558,France,Saint-Benoît,Europe West
-21.299908,-50.730388,Brazil,Araçatuba,South America
-21.3245335,117.2210412,Australia,Roebourne,Oceania
-21.3356889,-43.0443461,Brazil,Ubá,South America
-21.3740044,142.8065827,Australia,Richmond,Oceania
-21.3990824,-45.9494523,Brazil,Poços de Caldas,South America
-21.4404777,-44.9541587,Brazil,Lavras,South America
-21.4536252,-50.1634788,Brazil,Penápolis,South America
-21.4608983,-49.7527725,Brazil,Penápolis,South America
-21.4746488,-46.8069722,Brazil,Guaxupé,South America
-21.4764901,141.7156791,Australia,Cloncurry,Oceania
-21.4955758,148.8037151,Australia,Mackay,Oceania
-21.4965479,-56.454725,Brazil,Jardim,South America
-21.5004378,143.5767799,Australia,Hughenden,Oceania
-21.5092972,144.6497065,Australia,Hughenden,Oceania
-21.518368,-50.298227,Brazil,Penápolis,South America
-21.5186075,143.5592995,Australia,Richmond,Oceania
-21.527135,-47.6428605,Brazil,Ribeirão Prêto,South America
-21.5276668,-47.642258,Brazil,Ribeirão Prêto,South America
-21.5390084,118.7694353,Australia,Port Hedland,Oceania
-21.5475709,-50.7100847,Brazil,Araçatuba,South America
-21.5608234,115.963289,Australia,Pannawonica,Oceania
-21.5715335,-46.3183352,Brazil,Poços de Caldas,South America
-21.5731398,-55.2161613,Brazil,Maracaju,South America
-21.5830483,149.2530742,Australia,Mackay,Oceania
-21.5856482,-44.7123985,Brazil,Lavras,South America
-21.6033411,-51.1613556,Brazil,Presidente Prudente,South America
-21.606495,140.3980234,Australia,Cloncurry,Oceania
-21.6125437,-47.1843811,Brazil,Piraçununga,South America
-21.6149038,-51.1791627,Brazil,Presidente Prudente,South America
-21.6439013,-54.7679763,Brazil,Maracaju,South America
-21.7339538,-45.55419,Brazil,Pouso Alegre,South America
-21.7579106,133.6872677,Australia,Alice Springs,Oceania
-21.7590606,-52.1055577,Brazil,Presidente Prudente,South America
-21.7609314,-43.6014197,Brazil,Juiz de Fora,South America
-21.7990865,115.7442605,Australia,Pannawonica,Oceania
